numero_declaracion,manifiesto,codigo,descripcion_mercaderia,item_nro,valor_item
IMP-CL-2024-0000224,MAN-2024-87677,6203.42.00,Pantalones de mezclilla,1,4772164.18
IMP-VN-2024-0000225,MAN-2024-43723,0901.11.00,Café sin tostar,1,578739.86
IMP-VN-2024-0000225,MAN-2024-43723,8701.20.00,Tractores de carretera,2,582845.44
IMP-VN-2024-0000225,MAN-2024-43723,8703.23.00,Automóviles de turismo,3,1991958.64
IMP-VN-2024-0000225,MAN-2024-43723,6203.42.00,Pantalones de mezclilla,4,987454
IMP-CL-2023-0000226,MAN-2023-65579,3901.20.00,Polietileno de alta densidad,1,750806
IMP-CL-2023-0000226,MAN-2023-65579,7606.11.00,Chapas y hojas de aluminio,2,235261.32
IMP-CL-2023-0000226,MAN-2023-65579,8528.72.00,Monitores y pantallas LCD,3,7121.66
IMP-CL-2023-0000226,MAN-2023-65579,1006.30.00,Arroz semiblanqueado,4,3321846.58
IMP-ES-2024-0000227,MAN-2024-86818,8429.51.00,Cargadores frontales,1,1217454.32
IMP-CL-2022-0000228,MAN-2022-93418,2204.21.00,Vino tinto en botellas,1,1656974.36
IMP-CL-2022-0000228,MAN-2022-93418,8429.51.00,Cargadores frontales,2,1065548.16
IMP-CL-2022-0000228,MAN-2022-93418,6109.10.00,Camisetas de algodón,3,1462.09
IMP-CL-2022-0000228,MAN-2022-93418,8703.23.00,Automóviles de turismo,4,4147772.63
IMP-CL-2022-0000228,MAN-2022-93418,3004.90.00,Medicamentos para uso humano,5,1683528.43
IMP-VN-2022-0000229,MAN-2022-51317,8528.72.00,Monitores y pantallas LCD,1,1058805
IMP-VN-2022-0000229,MAN-2022-51317,1006.30.00,Arroz semiblanqueado,2,2513739.66
IMP-VN-2022-0000229,MAN-2022-51317,8471.30.00,Computadores portátiles,3,7930
IMP-CL-2024-0000230,MAN-2024-15997,2204.21.00,Vino tinto en botellas,1,2222317.44
IMP-CL-2024-0000231,MAN-2024-32338,3004.90.00,Medicamentos para uso humano,1,6720984.14
IMP-CL-2024-0000231,MAN-2024-32338,8528.72.00,Monitores y pantallas LCD,2,3409152.39
IMP-CL-2024-0000231,MAN-2024-32338,2204.21.00,Vino tinto en botellas,3,4345980.34
IMP-CL-2024-0000231,MAN-2024-32338,3002.20.00,Vacunas para medicina humana,4,703345.12
IMP-VN-2024-0000232,MAN-2024-43959,1006.30.00,Arroz semiblanqueado,1,1655536.08
IMP-VN-2024-0000232,MAN-2024-43959,3004.90.00,Medicamentos para uso humano,2,1428712.65
IMP-ES-2022-0000233,MAN-2022-88496,8703.23.00,Automóviles de turismo,1,2791759.68
IMP-ES-2022-0000233,MAN-2022-88496,8474.20.00,Maquinaria trituradora de minerales,2,13290.48
IMP-ES-2022-0000233,MAN-2022-88496,2204.21.00,Vino tinto en botellas,3,283360
IMP-ES-2022-0000233,MAN-2022-88496,8429.51.00,Cargadores frontales,4,1245414.38
IMP-ES-2022-0000233,MAN-2022-88496,1006.30.00,Arroz semiblanqueado,5,1041914.65
IMP-CL-2022-0000234,MAN-2022-52391,7606.11.00,Chapas y hojas de aluminio,1,456237.23
IMP-CL-2022-0000234,MAN-2022-52391,8703.23.00,Automóviles de turismo,2,393130.71
IMP-CL-2022-0000234,MAN-2022-52391,8544.42.00,Conductores eléctricos con conector,3,1162322.03
IMP-CL-2022-0000234,MAN-2022-52391,0901.11.00,Café sin tostar,4,5270448.4
IMP-CL-2022-0000234,MAN-2022-52391,3004.90.00,Medicamentos para uso humano,5,1219056.76
IMP-ES-2022-0000235,MAN-2022-41569,7208.51.00,Productos planos de hierro laminado,1,2370417.99
IMP-ES-2022-0000235,MAN-2022-41569,8701.20.00,Tractores de carretera,2,2018895
IMP-ES-2022-0000235,MAN-2022-41569,8429.51.00,Cargadores frontales,3,354225.96
IMP-CL-2023-0000236,MAN-2023-94488,3004.90.00,Medicamentos para uso humano,1,2777227.53
IMP-CL-2023-0000236,MAN-2023-94488,8528.72.00,Monitores y pantallas LCD,2,4088669.04
IMP-ES-2022-0000237,MAN-2022-76341,3901.20.00,Polietileno de alta densidad,1,578160.5
IMP-ES-2022-0000238,MAN-2022-26841,6203.42.00,Pantalones de mezclilla,1,108112.62
IMP-CL-2022-0000239,MAN-2022-18645,3004.90.00,Medicamentos para uso humano,1,294367.32
IMP-CL-2022-0000239,MAN-2022-18645,8701.20.00,Tractores de carretera,2,1329796.72
IMP-CL-2022-0000239,MAN-2022-18645,8544.42.00,Conductores eléctricos con conector,3,5022820.78
IMP-CL-2023-0000240,MAN-2023-72503,6203.42.00,Pantalones de mezclilla,1,8869.32
IMP-CL-2023-0000240,MAN-2023-72503,6109.10.00,Camisetas de algodón,2,1660556.52
IMP-ES-2022-0000241,MAN-2022-50063,8429.51.00,Cargadores frontales,1,1652441.56
IMP-ES-2022-0000241,MAN-2022-50063,8544.42.00,Conductores eléctricos con conector,2,109934.28
IMP-VN-2022-0000242,MAN-2022-32089,8528.72.00,Monitores y pantallas LCD,1,256827
IMP-VN-2022-0000242,MAN-2022-32089,8701.20.00,Tractores de carretera,2,1636356.9
IMP-CL-2022-0000243,MAN-2022-17536,2710.12.00,Gasolina,1,377267.92
IMP-CL-2022-0000243,MAN-2022-17536,2204.21.00,Vino tinto en botellas,2,1445928.02
IMP-CL-2024-0000244,MAN-2024-66880,8474.20.00,Maquinaria trituradora de minerales,1,4942711.68
IMP-CL-2024-0000244,MAN-2024-66880,8471.30.00,Computadores portátiles,2,1096834.64
IMP-CL-2024-0000244,MAN-2024-66880,2204.21.00,Vino tinto en botellas,3,336323
IMP-CL-2023-0000245,MAN-2023-12772,8517.12.00,Teléfonos inteligentes,1,2410866.72
IMP-CL-2023-0000245,MAN-2023-12772,8429.51.00,Cargadores frontales,2,223506.36
IMP-CL-2023-0000245,MAN-2023-12772,3004.90.00,Medicamentos para uso humano,3,1023568.38
IMP-CL-2023-0000246,MAN-2023-40065,8517.12.00,Teléfonos inteligentes,1,3222298.2
IMP-CL-2023-0000246,MAN-2023-40065,1006.30.00,Arroz semiblanqueado,2,49272.3
IMP-CL-2022-0000247,MAN-2022-33822,3002.20.00,Vacunas para medicina humana,1,948840.56
IMP-CL-2022-0000247,MAN-2022-33822,8471.30.00,Computadores portátiles,2,342802.26
IMP-CL-2023-0000248,MAN-2023-19814,6109.10.00,Camisetas de algodón,1,1849307.2
IMP-CL-2023-0000248,MAN-2023-19814,8474.20.00,Maquinaria trituradora de minerales,2,938906.43
IMP-CL-2023-0000248,MAN-2023-19814,3002.20.00,Vacunas para medicina humana,3,84815.72
IMP-CL-2023-0000248,MAN-2023-19814,8701.20.00,Tractores de carretera,4,71733.13
IMP-CL-2023-0000249,MAN-2023-31694,8703.23.00,Automóviles de turismo,1,190322.88
IMP-CL-2023-0000249,MAN-2023-31694,3901.20.00,Polietileno de alta densidad,2,3010894.26
IMP-CL-2023-0000249,MAN-2023-31694,8429.51.00,Cargadores frontales,3,6012913.52
IMP-CL-2023-0000249,MAN-2023-31694,8517.12.00,Teléfonos inteligentes,4,5546779.82
IMP-CL-2024-0000250,MAN-2024-37521,8703.23.00,Automóviles de turismo,1,703785.5
IMP-CL-2024-0000250,MAN-2024-37521,8701.20.00,Tractores de carretera,2,3177973.44
IMP-CL-2024-0000250,MAN-2024-37521,8471.30.00,Computadores portátiles,3,6282484.12
IMP-CL-2023-0000251,MAN-2023-30400,1006.30.00,Arroz semiblanqueado,1,1473419.92
IMP-CL-2023-0000251,MAN-2023-30400,8528.72.00,Monitores y pantallas LCD,2,2829970.5
IMP-CL-2023-0000251,MAN-2023-30400,3901.20.00,Polietileno de alta densidad,3,736318.28
IMP-CL-2024-0000252,MAN-2024-27324,8528.72.00,Monitores y pantallas LCD,1,1162401.95
IMP-CL-2024-0000252,MAN-2024-27324,7606.11.00,Chapas y hojas de aluminio,2,258531.91
IMP-CL-2024-0000252,MAN-2024-27324,8701.20.00,Tractores de carretera,3,3566024.28
IMP-CL-2024-0000252,MAN-2024-27324,7208.51.00,Productos planos de hierro laminado,4,903680.07
IMP-CL-2022-0000253,MAN-2022-12779,8471.30.00,Computadores portátiles,1,5831602.09
IMP-CL-2023-0000254,MAN-2023-29689,8429.51.00,Cargadores frontales,1,750292.92
IMP-CL-2023-0000254,MAN-2023-29689,8471.30.00,Computadores portátiles,2,403265.12
IMP-CL-2023-0000254,MAN-2023-29689,6203.42.00,Pantalones de mezclilla,3,499213.47
IMP-CL-2023-0000254,MAN-2023-29689,4011.10.00,Neumáticos para automóviles,4,4631508.42
IMP-CL-2023-0000255,MAN-2023-64256,7606.11.00,Chapas y hojas de aluminio,1,5659971.2
IMP-CL-2023-0000255,MAN-2023-64256,2204.21.00,Vino tinto en botellas,2,472305.02
IMP-CL-2023-0000255,MAN-2023-64256,6109.10.00,Camisetas de algodón,3,25854.18
IMP-ES-2023-0000256,MAN-2023-39437,7606.11.00,Chapas y hojas de aluminio,1,248895.71
IMP-ES-2023-0000256,MAN-2023-39437,3901.20.00,Polietileno de alta densidad,2,2324354.13
IMP-ES-2023-0000256,MAN-2023-39437,4011.10.00,Neumáticos para automóviles,3,3448731.52
IMP-ES-2023-0000256,MAN-2023-39437,8544.42.00,Conductores eléctricos con conector,4,4670336.32
IMP-ES-2023-0000256,MAN-2023-39437,6203.42.00,Pantalones de mezclilla,5,474436.8
IMP-CL-2022-0000257,MAN-2022-63939,3002.20.00,Vacunas para medicina humana,1,156755.61
IMP-ES-2022-0000258,MAN-2022-72575,8517.12.00,Teléfonos inteligentes,1,3493538.8
IMP-ES-2022-0000258,MAN-2022-72575,8544.42.00,Conductores eléctricos con conector,2,622716.54
IMP-ES-2022-0000259,MAN-2022-51218,8703.23.00,Automóviles de turismo,1,217876
IMP-ES-2022-0000259,MAN-2022-51218,6109.10.00,Camisetas de algodón,2,5067567.33
IMP-ES-2022-0000259,MAN-2022-51218,8474.20.00,Maquinaria trituradora de minerales,3,54008.25
IMP-ES-2022-0000259,MAN-2022-51218,3901.20.00,Polietileno de alta densidad,4,682760.4
IMP-CL-2023-0000260,MAN-2023-68652,1006.30.00,Arroz semiblanqueado,1,2810778.3
IMP-ES-2023-0000261,MAN-2023-67939,8517.12.00,Teléfonos inteligentes,1,2850519.17
IMP-ES-2023-0000261,MAN-2023-67939,3004.90.00,Medicamentos para uso humano,2,1126599.5
IMP-ES-2023-0000261,MAN-2023-67939,6203.42.00,Pantalones de mezclilla,3,4802990.64
IMP-ES-2023-0000261,MAN-2023-67939,8703.23.00,Automóviles de turismo,4,603642.5
IMP-ES-2024-0000262,MAN-2024-70591,3004.90.00,Medicamentos para uso humano,1,1244654.32
IMP-ES-2024-0000262,MAN-2024-70591,3002.20.00,Vacunas para medicina humana,2,4058608.59
IMP-ES-2024-0000262,MAN-2024-70591,8429.51.00,Cargadores frontales,3,903453.11
IMP-ES-2024-0000263,MAN-2024-20956,7208.51.00,Productos planos de hierro laminado,1,6765006.1
IMP-ES-2024-0000263,MAN-2024-20956,8474.20.00,Maquinaria trituradora de minerales,2,2351216.28
IMP-ES-2024-0000263,MAN-2024-20956,8528.72.00,Monitores y pantallas LCD,3,620965.37
IMP-ES-2024-0000263,MAN-2024-20956,8701.20.00,Tractores de carretera,4,162047.4
IMP-ES-2024-0000263,MAN-2024-20956,4011.10.00,Neumáticos para automóviles,5,2262863.6
IMP-CL-2023-0000264,MAN-2023-52432,7208.51.00,Productos planos de hierro laminado,1,1105276.7
IMP-CL-2023-0000264,MAN-2023-52432,3002.20.00,Vacunas para medicina humana,2,368320.89
IMP-CL-2023-0000264,MAN-2023-52432,2710.12.00,Gasolina,3,39079.32
IMP-CL-2022-0000265,MAN-2022-64270,1006.30.00,Arroz semiblanqueado,1,2893497.69
IMP-CL-2022-0000265,MAN-2022-64270,8474.20.00,Maquinaria trituradora de minerales,2,3268747.02
IMP-CL-2022-0000265,MAN-2022-64270,3002.20.00,Vacunas para medicina humana,3,831685.5
IMP-CL-2022-0000265,MAN-2022-64270,6109.10.00,Camisetas de algodón,4,2214680.16
IMP-ES-2023-0000266,MAN-2023-69589,2710.12.00,Gasolina,1,1511395.45
IMP-ES-2023-0000266,MAN-2023-69589,1006.30.00,Arroz semiblanqueado,2,754915.98
IMP-ES-2023-0000266,MAN-2023-69589,8474.20.00,Maquinaria trituradora de minerales,3,684265.68
IMP-ES-2023-0000266,MAN-2023-69589,8701.20.00,Tractores de carretera,4,839383.72
IMP-CL-2023-0000267,MAN-2023-32336,2204.21.00,Vino tinto en botellas,1,5906531.68
IMP-ES-2024-0000268,MAN-2024-84946,8517.12.00,Teléfonos inteligentes,1,4592462.94
IMP-ES-2024-0000268,MAN-2024-84946,4011.10.00,Neumáticos para automóviles,2,975029.46
IMP-ES-2024-0000268,MAN-2024-84946,3002.20.00,Vacunas para medicina humana,3,2212533.47
IMP-ES-2024-0000268,MAN-2024-84946,8429.51.00,Cargadores frontales,4,538465.3
IMP-VN-2024-0000269,MAN-2024-12877,8701.20.00,Tractores de carretera,1,446071.5
IMP-VN-2024-0000269,MAN-2024-12877,6203.42.00,Pantalones de mezclilla,2,1588821.16
IMP-VN-2024-0000269,MAN-2024-12877,4011.10.00,Neumáticos para automóviles,3,4843356
IMP-CL-2022-0000270,MAN-2022-38804,3004.90.00,Medicamentos para uso humano,1,417415.62
IMP-CL-2022-0000270,MAN-2022-38804,1006.30.00,Arroz semiblanqueado,2,1244715.31
IMP-CL-2022-0000270,MAN-2022-38804,7208.51.00,Productos planos de hierro laminado,3,2756319.99
IMP-CL-2022-0000270,MAN-2022-38804,8701.20.00,Tractores de carretera,4,210870.72
IMP-CL-2023-0000271,MAN-2023-51779,2204.21.00,Vino tinto en botellas,1,3004529.22
IMP-CL-2024-0000272,MAN-2024-40493,2204.21.00,Vino tinto en botellas,1,235323.36
IMP-CL-2024-0000272,MAN-2024-40493,8544.42.00,Conductores eléctricos con conector,2,996496.04
IMP-CL-2024-0000272,MAN-2024-40493,8528.72.00,Monitores y pantallas LCD,3,925925.7
IMP-CL-2024-0000272,MAN-2024-40493,7208.51.00,Productos planos de hierro laminado,4,5579844.24
IMP-CL-2024-0000272,MAN-2024-40493,8701.20.00,Tractores de carretera,5,7050557.11
IMP-CL-2023-0000273,MAN-2023-27178,8703.23.00,Automóviles de turismo,1,3936962.82
IMP-CL-2023-0000273,MAN-2023-27178,8474.20.00,Maquinaria trituradora de minerales,2,2210794.56
IMP-CL-2023-0000273,MAN-2023-27178,3901.20.00,Polietileno de alta densidad,3,1064506.11
IMP-CL-2023-0000273,MAN-2023-27178,6109.10.00,Camisetas de algodón,4,488764.28
IMP-CL-2023-0000273,MAN-2023-27178,8528.72.00,Monitores y pantallas LCD,5,313114.1
IMP-CL-2024-0000274,MAN-2024-23780,8528.72.00,Monitores y pantallas LCD,1,346039.85
IMP-CL-2022-0000275,MAN-2022-52193,3901.20.00,Polietileno de alta densidad,1,1762377.68
IMP-CL-2022-0000275,MAN-2022-52193,8471.30.00,Computadores portátiles,2,38431.85
IMP-CL-2022-0000275,MAN-2022-52193,8517.12.00,Teléfonos inteligentes,3,2217085.35
IMP-CL-2022-0000276,MAN-2022-69509,2204.21.00,Vino tinto en botellas,1,3584947.08
IMP-CL-2022-0000277,MAN-2022-56455,3004.90.00,Medicamentos para uso humano,1,1217062.08
IMP-CL-2022-0000277,MAN-2022-56455,7208.51.00,Productos planos de hierro laminado,2,100773.3
IMP-CL-2022-0000277,MAN-2022-56455,2710.12.00,Gasolina,3,536272.1
IMP-CL-2024-0000278,MAN-2024-61496,1006.30.00,Arroz semiblanqueado,1,38072.52
IMP-CL-2024-0000278,MAN-2024-61496,8517.12.00,Teléfonos inteligentes,2,2152609.2
IMP-CL-2024-0000278,MAN-2024-61496,7208.51.00,Productos planos de hierro laminado,3,632997.68
IMP-CL-2024-0000278,MAN-2024-61496,6109.10.00,Camisetas de algodón,4,586495.95
IMP-CL-2024-0000278,MAN-2024-61496,2204.21.00,Vino tinto en botellas,5,1264569.65
IMP-CL-2023-0000279,MAN-2023-87857,8703.23.00,Automóviles de turismo,1,1414932.27
IMP-CL-2023-0000279,MAN-2023-87857,2204.21.00,Vino tinto en botellas,2,1324000.8
IMP-CL-2022-0000280,MAN-2022-96424,8474.20.00,Maquinaria trituradora de minerales,1,1468908.84
IMP-CL-2022-0000280,MAN-2022-96424,8517.12.00,Teléfonos inteligentes,2,649618.2
IMP-CL-2022-0000280,MAN-2022-96424,8471.30.00,Computadores portátiles,3,883963.6
IMP-CL-2022-0000280,MAN-2022-96424,0901.11.00,Café sin tostar,4,237951.48
IMP-CL-2022-0000281,MAN-2022-24442,2204.21.00,Vino tinto en botellas,1,6760300.24
IMP-CL-2022-0000281,MAN-2022-24442,8703.23.00,Automóviles de turismo,2,533951.2
IMP-CL-2022-0000281,MAN-2022-24442,8528.72.00,Monitores y pantallas LCD,3,1855332.99
IMP-CL-2022-0000281,MAN-2022-24442,4011.10.00,Neumáticos para automóviles,4,2846048.4
IMP-ES-2024-0000282,MAN-2024-48116,0901.11.00,Café sin tostar,1,144832.8
IMP-ES-2024-0000282,MAN-2024-48116,3901.20.00,Polietileno de alta densidad,2,36803.23
IMP-ES-2024-0000282,MAN-2024-48116,8701.20.00,Tractores de carretera,3,68621.91
IMP-ES-2024-0000282,MAN-2024-48116,8544.42.00,Conductores eléctricos con conector,4,3764759.22
IMP-ES-2024-0000282,MAN-2024-48116,7606.11.00,Chapas y hojas de aluminio,5,205257.08
IMP-CL-2023-0000283,MAN-2023-51059,3002.20.00,Vacunas para medicina humana,1,2141615.04
IMP-CL-2023-0000283,MAN-2023-51059,3004.90.00,Medicamentos para uso humano,2,417248
IMP-CL-2023-0000283,MAN-2023-51059,8474.20.00,Maquinaria trituradora de minerales,3,2281901.44
IMP-CL-2023-0000283,MAN-2023-51059,6109.10.00,Camisetas de algodón,4,2003231.56
IMP-CL-2023-0000284,MAN-2023-17977,3002.20.00,Vacunas para medicina humana,1,5648405.08
IMP-CL-2023-0000284,MAN-2023-17977,7208.51.00,Productos planos de hierro laminado,2,521653.34
IMP-CL-2023-0000284,MAN-2023-17977,8471.30.00,Computadores portátiles,3,4285152.9
IMP-CL-2023-0000284,MAN-2023-17977,3901.20.00,Polietileno de alta densidad,4,1469845.78
IMP-CL-2024-0000285,MAN-2024-61211,8703.23.00,Automóviles de turismo,1,575272.6
IMP-ES-2024-0000286,MAN-2024-61273,3901.20.00,Polietileno de alta densidad,1,3871208.67
IMP-ES-2024-0000286,MAN-2024-61273,6109.10.00,Camisetas de algodón,2,2900502
IMP-CL-2024-0000287,MAN-2024-70225,8471.30.00,Computadores portátiles,1,425514.5
IMP-CL-2024-0000287,MAN-2024-70225,0901.11.00,Café sin tostar,2,35036
IMP-CL-2023-0000288,MAN-2023-65057,3004.90.00,Medicamentos para uso humano,1,3935022.02
IMP-CL-2023-0000288,MAN-2023-65057,7606.11.00,Chapas y hojas de aluminio,2,259355.32
IMP-CL-2023-0000288,MAN-2023-65057,8701.20.00,Tractores de carretera,3,1466923.74
IMP-CL-2023-0000288,MAN-2023-65057,2710.12.00,Gasolina,4,1557929.1
IMP-VN-2022-0000289,MAN-2022-92459,7208.51.00,Productos planos de hierro laminado,1,2197846.19
IMP-ES-2022-0000290,MAN-2022-88838,2204.21.00,Vino tinto en botellas,1,2432153.01
IMP-CL-2023-0000291,MAN-2023-40882,3004.90.00,Medicamentos para uso humano,1,5843805.33
IMP-CL-2023-0000291,MAN-2023-40882,2204.21.00,Vino tinto en botellas,2,2146762.4
IMP-CL-2023-0000291,MAN-2023-40882,8528.72.00,Monitores y pantallas LCD,3,2365874.92
IMP-CL-2022-0000292,MAN-2022-25149,8544.42.00,Conductores eléctricos con conector,1,946074.95
IMP-CL-2022-0000292,MAN-2022-25149,8528.72.00,Monitores y pantallas LCD,2,235844.7
IMP-CL-2022-0000292,MAN-2022-25149,3901.20.00,Polietileno de alta densidad,3,141625.62
IMP-CL-2022-0000292,MAN-2022-25149,7606.11.00,Chapas y hojas de aluminio,4,1131991.8
IMP-CL-2024-0000293,MAN-2024-72744,3002.20.00,Vacunas para medicina humana,1,165283.86
IMP-CL-2024-0000293,MAN-2024-72744,8517.12.00,Teléfonos inteligentes,2,20487.72
IMP-CL-2024-0000293,MAN-2024-72744,6203.42.00,Pantalones de mezclilla,3,4324456.83
IMP-ES-2022-0000294,MAN-2022-14424,8703.23.00,Automóviles de turismo,1,1664480.16
IMP-ES-2022-0000294,MAN-2022-14424,7606.11.00,Chapas y hojas de aluminio,2,2200600.16
IMP-ES-2022-0000294,MAN-2022-14424,2204.21.00,Vino tinto en botellas,3,1955380.5
IMP-ES-2022-0000294,MAN-2022-14424,6203.42.00,Pantalones de mezclilla,4,996331.14
IMP-ES-2022-0000294,MAN-2022-14424,7208.51.00,Productos planos de hierro laminado,5,656188.9
IMP-CL-2024-0000295,MAN-2024-91465,6109.10.00,Camisetas de algodón,1,4007752.56
IMP-ES-2022-0000296,MAN-2022-12263,3004.90.00,Medicamentos para uso humano,1,3172586.34
IMP-ES-2022-0000296,MAN-2022-12263,0901.11.00,Café sin tostar,2,3068669
IMP-ES-2022-0000296,MAN-2022-12263,3901.20.00,Polietileno de alta densidad,3,1210017.48
IMP-ES-2022-0000296,MAN-2022-12263,7208.51.00,Productos planos de hierro laminado,4,2684892
IMP-ES-2022-0000296,MAN-2022-12263,3002.20.00,Vacunas para medicina humana,5,1697403.48
IMP-CL-2022-0000297,MAN-2022-80836,8703.23.00,Automóviles de turismo,1,4213057.2
IMP-CL-2022-0000297,MAN-2022-80836,3002.20.00,Vacunas para medicina humana,2,2302279.07
IMP-CL-2022-0000297,MAN-2022-80836,8517.12.00,Teléfonos inteligentes,3,611388.76
IMP-CL-2022-0000297,MAN-2022-80836,8528.72.00,Monitores y pantallas LCD,4,4638645.81
IMP-CL-2022-0000297,MAN-2022-80836,6109.10.00,Camisetas de algodón,5,1733939.62
IMP-CL-2023-0000298,MAN-2023-23924,2710.12.00,Gasolina,1,389107.08
IMP-CL-2024-0000299,MAN-2024-25127,4011.10.00,Neumáticos para automóviles,1,3672164.31
IMP-CL-2024-0000299,MAN-2024-25127,2204.21.00,Vino tinto en botellas,2,2242543.8
IMP-CL-2024-0000299,MAN-2024-25127,8703.23.00,Automóviles de turismo,3,394901.37
IMP-CL-2024-0000299,MAN-2024-25127,3004.90.00,Medicamentos para uso humano,4,575191.6
IMP-CL-2024-0000299,MAN-2024-25127,8517.12.00,Teléfonos inteligentes,5,975818.7
IMP-CL-2024-0000300,MAN-2024-31859,3901.20.00,Polietileno de alta densidad,1,2551749.27
IMP-CL-2024-0000300,MAN-2024-31859,2710.12.00,Gasolina,2,2252393.04
IMP-CL-2024-0000300,MAN-2024-31859,8528.72.00,Monitores y pantallas LCD,3,2713241
IMP-CL-2024-0000301,MAN-2024-27643,8517.12.00,Teléfonos inteligentes,1,134599.4
IMP-CL-2024-0000301,MAN-2024-27643,3002.20.00,Vacunas para medicina humana,2,75784.92
IMP-CL-2024-0000302,MAN-2024-66431,4011.10.00,Neumáticos para automóviles,1,1688540.64
IMP-CL-2023-0000303,MAN-2023-58436,8701.20.00,Tractores de carretera,1,1029958.47
IMP-CL-2023-0000303,MAN-2023-58436,8474.20.00,Maquinaria trituradora de minerales,2,1527358.7
IMP-CL-2023-0000303,MAN-2023-58436,0901.11.00,Café sin tostar,3,2085124.64
IMP-CL-2024-0000304,MAN-2024-83160,8429.51.00,Cargadores frontales,1,3040222.68
IMP-CL-2024-0000304,MAN-2024-83160,7208.51.00,Productos planos de hierro laminado,2,1000164.66
IMP-CL-2024-0000304,MAN-2024-83160,0901.11.00,Café sin tostar,3,912978.7
IMP-CL-2024-0000304,MAN-2024-83160,8474.20.00,Maquinaria trituradora de minerales,4,1569738.17
IMP-CL-2024-0000304,MAN-2024-83160,2710.12.00,Gasolina,5,871614.6
IMP-CL-2022-0000305,MAN-2022-97552,3004.90.00,Medicamentos para uso humano,1,567275.28
IMP-CL-2022-0000305,MAN-2022-97552,6203.42.00,Pantalones de mezclilla,2,1056582.72
IMP-CL-2022-0000305,MAN-2022-97552,8703.23.00,Automóviles de turismo,3,287906.2
IMP-CL-2022-0000305,MAN-2022-97552,6109.10.00,Camisetas de algodón,4,4283379.2
IMP-CL-2022-0000305,MAN-2022-97552,7606.11.00,Chapas y hojas de aluminio,5,3773972.41
IMP-ES-2024-0000306,MAN-2024-17969,8474.20.00,Maquinaria trituradora de minerales,1,6528022.28
IMP-ES-2024-0000306,MAN-2024-17969,6203.42.00,Pantalones de mezclilla,2,4435565.67
IMP-ES-2024-0000306,MAN-2024-17969,8544.42.00,Conductores eléctricos con conector,3,3126259.1
IMP-CL-2023-0000307,MAN-2023-77980,3002.20.00,Vacunas para medicina humana,1,1005706.74
IMP-CL-2023-0000307,MAN-2023-77980,3004.90.00,Medicamentos para uso humano,2,576776.86
IMP-CL-2023-0000307,MAN-2023-77980,6109.10.00,Camisetas de algodón,3,291467.4
IMP-CL-2023-0000307,MAN-2023-77980,8517.12.00,Teléfonos inteligentes,4,1415208.4
IMP-ES-2023-0000308,MAN-2023-81001,6203.42.00,Pantalones de mezclilla,1,1055156
IMP-ES-2023-0000308,MAN-2023-81001,0901.11.00,Café sin tostar,2,3124761.12
IMP-ES-2023-0000308,MAN-2023-81001,8701.20.00,Tractores de carretera,3,103379.36
IMP-ES-2023-0000308,MAN-2023-81001,2204.21.00,Vino tinto en botellas,4,134329.59
IMP-CL-2024-0000309,MAN-2024-58473,1006.30.00,Arroz semiblanqueado,1,137632.44
IMP-CL-2024-0000309,MAN-2024-58473,3002.20.00,Vacunas para medicina humana,2,971349
IMP-CL-2024-0000309,MAN-2024-58473,2710.12.00,Gasolina,3,206513.32
IMP-CL-2023-0000310,MAN-2023-84096,8474.20.00,Maquinaria trituradora de minerales,1,733576.32
IMP-CL-2023-0000311,MAN-2023-25411,7606.11.00,Chapas y hojas de aluminio,1,1142785.05
IMP-CL-2023-0000311,MAN-2023-25411,3901.20.00,Polietileno de alta densidad,2,1914887.36
IMP-CL-2023-0000311,MAN-2023-25411,8544.42.00,Conductores eléctricos con conector,3,4883067.2
IMP-CL-2023-0000311,MAN-2023-25411,1006.30.00,Arroz semiblanqueado,4,462743.2
IMP-CL-2023-0000311,MAN-2023-25411,6203.42.00,Pantalones de mezclilla,5,345128.58
IMP-CL-2023-0000312,MAN-2023-91916,2204.21.00,Vino tinto en botellas,1,2754640.68
IMP-CL-2023-0000312,MAN-2023-91916,4011.10.00,Neumáticos para automóviles,2,3796110.32
IMP-CL-2023-0000312,MAN-2023-91916,8701.20.00,Tractores de carretera,3,2040482.94
IMP-CL-2023-0000312,MAN-2023-91916,8429.51.00,Cargadores frontales,4,1170584.8
IMP-CL-2023-0000312,MAN-2023-91916,0901.11.00,Café sin tostar,5,750614.55
IMP-CL-2022-0000313,MAN-2022-37434,6203.42.00,Pantalones de mezclilla,1,1797714.06
IMP-CL-2022-0000313,MAN-2022-37434,2204.21.00,Vino tinto en botellas,2,2847207.9
IMP-CL-2022-0000313,MAN-2022-37434,8471.30.00,Computadores portátiles,3,1717856.8
IMP-CL-2022-0000313,MAN-2022-37434,8703.23.00,Automóviles de turismo,4,3682291.2
IMP-CL-2022-0000313,MAN-2022-37434,6109.10.00,Camisetas de algodón,5,1833942.51
IMP-ES-2023-0000314,MAN-2023-28728,8429.51.00,Cargadores frontales,1,3201394.68
IMP-ES-2023-0000314,MAN-2023-28728,8701.20.00,Tractores de carretera,2,195220.98
IMP-CL-2024-0000315,MAN-2024-14394,8474.20.00,Maquinaria trituradora de minerales,1,1746562.82
IMP-CL-2024-0000315,MAN-2024-14394,3901.20.00,Polietileno de alta densidad,2,168914.46
