numero_declaracion,fecha_declaracion,pais_importacion,aduana,importador_nombre,importador_tax_id,exportador_pais,via_transporte,naviera,nombre_nave,numero_bl,puerto_origen,fecha_embarque,fecha_arribo,dias_transito,numero_manifiesto,contenedores,tipo_contenedor,num_contenedores,peso_bruto_kg,volumen_m3,bultos,num_items,items_detalle,valor_fob_usd,flete_usd,seguro_usd,valor_cif_usd,tasa_advalorem_pct,derechos_advalorem,iva,total_tributos,moneda,canal,estado,fecha_liquidacion
IMP-CL-2024-0000334,2024-01-13,CL,SAN VICENTE,Walmart Chile S.A.,72.255.871-5,GB,MARITIMO,ONE (Ocean Network Express),YANG MING WIND,ONE621028695,SINGAPORE,2023-12-04,2024-01-11,40,MAN-2024-59542,YMLU4823830|MSCU4551099|TRHU6082767|TCKU1202445,HC 40',4,10514.4,38.06,1068,3,1:8701.20.00:Tractores de carretera:244:2610568.20USD | 2:4011.10.00:Neumáticos para automóviles:345:1528436.25USD | 3:0901.11.00:Café sin tostar:381:4602453.33USD,8741457.78,318430.8,96807.22,9156695.8,18.0,1648205.24,2052931.2,3701136.44,USD,ROJO,LIQUIDADO,2024-01-15
IMP-VN-2022-0000335,2022-12-26,VN,DA NANG,Vingroup JSC,VN5583579348,DE,MARITIMO,HMM,PACIFIC CARRIER,HMM579568368,HONG KONG,2022-11-23,2022-12-24,33,MAN-2022-17336,HLXU6981102,REEFER 20',1,13131.3,64.33,34,1,1:8528.72.00:Monitores y pantallas LCD:176:594902.88USD,594902.88,23987.35,3867.4,622757.63,10.0,62275.76,68503.34,130779.1,USD,AMARILLO,ACEPTADO,2022-12-31
IMP-VN-2023-0000336,2023-05-17,VN,HANOI,Vinamilk,VN1313766891,SG,MARITIMO,Yang Ming,YANG MING WIND,YANG574484446,GUANGZHOU,2023-04-21,2023-05-14,26,MAN-2023-25257,MSKU3223802|APHU6079484,DRY 20',2,6212.6,20.86,1200,2,1:6203.42.00:Pantalones de mezclilla:354:3810289.62USD | 2:8544.42.00:Conductores eléctricos con conector:91:55791.19USD,3866080.81,233731.2,40670.23,4140482.24,0.0,0.0,414048.22,414048.22,USD,VERDE,LIQUIDADO,2023-05-18
IMP-CL-2023-0000337,2023-02-09,CL,ARICA,Arauco y Constitución S.A.,19.961.257-2,SG,MARITIMO,COSCO Shipping,HAPAG LLOYD BERLIN,COSC442746491,PORT KLANG,2023-01-19,2023-02-06,21,MAN-2023-10854,COSU3961713|EISU9510963|COSU9626848,HC 40',3,26664.5,24.48,1099,5,1:8703.23.00:Automóviles de turismo:441:5986918.98USD | 2:7606.11.00:Chapas y hojas de aluminio:369:4907294.10USD | 3:0901.11.00:Café sin tostar:399:3847549.02USD | 4:8471.30.00:Computadores portátiles:302:3650705.86USD | 5:3002.20.00:Vacunas para medicina humana:315:3570710.85USD,21963178.81,1748530.05,165107.71,23876816.57,6.0,1432608.99,4808790.86,6241399.85,USD,AMARILLO,LIQUIDADO,2023-02-14
IMP-CL-2024-0000338,2024-10-12,CL,ARICA,Minera Collahuasi S.A.,48.455.060-2,AR,MARITIMO,Yang Ming,MAERSK EDINBURGH,YANG943758275,HAMBURG,2024-09-19,2024-10-11,23,MAN-2024-61935,HLXU2823879|HLXU4577178,HC 40',2,14298.9,25.8,1096,1,1:3002.20.00:Vacunas para medicina humana:345:1578916.65USD,1578916.65,120415.71,14892.32,1714224.68,15.0,257133.7,374558.09,631691.79,USD,ROJO,ACEPTADO,2024-10-14
IMP-CL-2022-0000339,2022-11-18,CL,SAN ANTONIO,Falabella Retail S.A.,55.126.991-0,NL,MARITIMO,Hapag-Lloyd,MSC ISTANBUL,HAPA949243852,BUSAN,2022-10-21,2022-11-15,28,MAN-2022-66033,OOLU7602542|OOLU1095169|OOLU1927904,REEFER 20',3,10224.3,57.35,945,4,1:8544.42.00:Conductores eléctricos con conector:478:1888195.60USD | 2:3002.20.00:Vacunas para medicina humana:479:6152755.00USD | 3:6109.10.00:Camisetas de algodón:156:868632.96USD | 4:6203.42.00:Pantalones de mezclilla:157:786962.50USD,9696546.06,462493.04,120742.74,10279781.84,6.0,616786.91,2070348.06,2687134.97,USD,VERDE,LIQUIDADO,2022-11-22
IMP-CL-2023-0000340,2023-02-13,CL,IQUIQUE,Enap Refinerías S.A.,25.370.571-2,FR,MARITIMO,MSC,YANG MING WIND,MSC314742250,ROTTERDAM,2023-01-01,2023-02-12,43,MAN-2023-85246,HLXU5700013|TRHU7291774|MSCU2701879|MSCU6749416,HC 40',4,15292.1,33.48,592,5,1:2710.12.00:Gasolina:125:301833.75USD | 2:7208.51.00:Productos planos de hierro laminado:371:2671363.24USD | 3:6109.10.00:Camisetas de algodón:370:3292322.90USD | 4:8474.20.00:Maquinaria trituradora de minerales:488:7108837.52USD | 5:8528.72.00:Monitores y pantallas LCD:24:281294.64USD,13655652.05,675997.8,199335.88,14530985.73,15.0,2179647.86,3175020.38,5354668.24,USD,AMARILLO,ACEPTADO,2023-02-18
IMP-CL-2024-0000341,2024-06-16,CL,VALPARAISO,Enap Refinerías S.A.,58.191.556-7,US,MARITIMO,Hapag-Lloyd,PIL SINGAPORE,HAPA164731980,SHANGHAI,2024-05-22,2024-06-14,25,MAN-2024-79258,EISU8857213|HLXU8731003,HC 40',2,9657.8,49.05,540,5,1:3901.20.00:Polietileno de alta densidad:354:119496.24USD | 2:6109.10.00:Camisetas de algodón:396:4574152.44USD | 3:8544.42.00:Conductores eléctricos con conector:446:5258629.90USD | 4:2710.12.00:Gasolina:365:4047295.20USD | 5:0901.11.00:Café sin tostar:491:6286258.27USD,20285832.05,1526613.84,191871.59,22004317.48,6.0,1320259.05,4431669.54,5751928.59,USD,VERDE,LIQUIDADO,2024-06-21
IMP-CL-2022-0000342,2022-02-03,CL,IQUIQUE,Importadora del Pacífico Ltda.,96.798.637-6,IT,MARITIMO,PIL,PACIFIC CARRIER,PIL584567424,BARCELONA,2021-12-29,2022-02-01,36,MAN-2022-71042,MSKU2267561|TRHU2545911|APHU2884667,REEFER 40',3,4851.2,38.38,189,1,1:2710.12.00:Gasolina:448:5365333.12USD,5365333.12,372927.54,53224.61,5791485.27,10.0,579148.53,1210420.42,1789568.95,USD,VERDE,RECHAZADO,
IMP-CL-2022-0000343,2022-11-08,CL,PUERTO MONTT,Codelco Chile,82.099.818-5,KR,MARITIMO,PIL,MSC OSCAR,PIL929993843,ANTWERP,2022-10-01,2022-11-06,38,MAN-2022-34752,MSCU7735482|TRHU5929377|MSCU7542233|MSCU1143242,DRY 40',4,9365.6,14.78,466,1,1:8701.20.00:Tractores de carretera:332:2866023.20USD,2866023.2,151046.17,36716.99,3053786.36,15.0,458067.95,667252.32,1125320.27,USD,VERDE,LIQUIDADO,2022-11-10
IMP-CL-2023-0000344,2023-09-24,CL,SAN ANTONIO,Cencosud S.A.,8.663.666-2,MY,MARITIMO,ONE (Ocean Network Express),COSCO SHIPPING UNIVERSE,ONE995669512,HONG KONG,2023-09-01,2023-09-23,23,MAN-2023-26136,EISU6290464,DRY 40',1,18599.6,18.11,344,1,1:3901.20.00:Polietileno de alta densidad:309:4377905.82USD,4377905.82,139973.16,27463.63,4545342.61,6.0,272720.56,915432.0,1188152.56,USD,ROJO,ACEPTADO,2023-09-28
IMP-ES-2024-0000345,2024-06-28,ES,BARCELONA,Grupo Antolin S.A.,ES58299387R,IT,MARITIMO,Evergreen Marine,ONE STORK,EVER220250872,BUSAN,2024-05-14,2024-06-25,45,MAN-2024-76680,APHU9665368|MSKU3732723,DRY 40',2,3809.9,36.79,743,2,1:3004.90.00:Medicamentos para uso humano:229:1507694.78USD | 2:8517.12.00:Teléfonos inteligentes:102:315427.86USD,1823122.64,89379.03,23964.94,1936466.61,0.0,0.0,406657.99,406657.99,EUR,VERDE,ACEPTADO,2024-07-02
IMP-ES-2022-0000346,2022-01-15,ES,BARCELONA,Inditex S.A.,ES18211636X,AR,MARITIMO,Maersk Line,CMA CGM MARCO POLO,MAER414697172,ROTTERDAM,2021-12-16,2022-01-13,30,MAN-2022-96632,YMLU6423586,DRY 20',1,4370.2,21.18,1166,4,1:8474.20.00:Maquinaria trituradora de minerales:429:424250.97USD | 2:2204.21.00:Vino tinto en botellas:485:6168540.40USD | 3:4011.10.00:Neumáticos para automóviles:154:531005.86USD | 4:0901.11.00:Café sin tostar:360:459334.80USD,7583132.03,471512.31,67466.08,8122110.42,6.0,487326.63,1807981.78,2295308.41,EUR,VERDE,ACEPTADO,2022-01-18
IMP-CL-2024-0000347,2024-04-29,CL,SAN VICENTE,Minera Collahuasi S.A.,26.229.564-1,CN,MARITIMO,Maersk Line,HMM ALGECIRAS,MAER339121961,TOKYO,2024-03-16,2024-04-28,44,MAN-2024-55700,YMLU6386706|MSCU1433356|EISU1478098,REEFER 20',3,1441.1,61.68,844,4,1:8701.20.00:Tractores de carretera:380:4614404.60USD | 2:8544.42.00:Conductores eléctricos con conector:343:937213.20USD | 3:2710.12.00:Gasolina:451:6257656.57USD | 4:8429.51.00:Cargadores frontales:403:984923.94USD,12794198.31,702117.07,103129.53,13599444.91,15.0,2039916.74,2971478.71,5011395.45,USD,AMARILLO,LIQUIDADO,2024-04-30
IMP-CL-2022-0000348,2022-05-16,CL,ARICA,Importadora del Pacífico Ltda.,17.722.389-6,FR,MARITIMO,COSCO Shipping,HMM ALGECIRAS,COSC212987932,ROTTERDAM,2022-04-25,2022-05-14,21,MAN-2022-90611,COSU9267840,OPEN TOP 20',1,23355.0,42.13,267,4,1:3002.20.00:Vacunas para medicina humana:439:3974280.17USD | 2:3901.20.00:Polietileno de alta densidad:327:6808.14USD | 3:7208.51.00:Productos planos de hierro laminado:244:1719616.84USD | 4:8429.51.00:Cargadores frontales:463:1787346.68USD,7488051.83,345527.34,77874.7,7911453.87,10.0,791145.39,1653493.86,2444639.25,USD,AMARILLO,ACEPTADO,2022-05-18
IMP-ES-2023-0000349,2023-05-29,ES,VALENCIA,Acerinox S.A.,ES56157714G,IN,MARITIMO,COSCO Shipping,CMA CGM MARCO POLO,COSC330678603,TOKYO,2023-05-06,2023-05-26,23,MAN-2023-69258,OOLU1805615,DRY 40',1,27437.1,5.93,79,3,1:1006.30.00:Arroz semiblanqueado:265:2295358.45USD | 2:7208.51.00:Productos planos de hierro laminado:453:1815723.66USD | 3:2710.12.00:Gasolina:461:914757.69USD,5025839.8,256825.68,58360.14,5341025.62,10.0,534102.56,1233776.92,1767879.48,EUR,VERDE,LIQUIDADO,2023-06-02
IMP-ES-2023-0000350,2023-06-23,ES,VIGO,Mercadona S.A.,ES26143405V,FR,MARITIMO,Maersk Line,HMM ALGECIRAS,MAER473258690,ROTTERDAM,2023-05-19,2023-06-21,35,MAN-2023-26554,EISU9176462|APHU8655712|MSKU6744099,REEFER 40',3,7728.7,55.83,883,1,1:6109.10.00:Camisetas de algodón:336:3874073.28USD,3874073.28,295182.23,32435.86,4201691.37,6.0,252101.48,935296.5,1187397.98,EUR,VERDE,RECHAZADO,
IMP-VN-2024-0000351,2024-07-15,VN,HAI PHONG,TH Group,VN6011167992,BR,MARITIMO,HMM,MSC ISTANBUL,HMM830570612,LOS ANGELES,2024-06-14,2024-07-12,31,MAN-2024-23125,HLXU1280502|HLXU6938069,REEFER 40',2,17025.7,14.87,1096,1,1:2710.12.00:Gasolina:94:561123.60USD,561123.6,43241.58,8408.69,612773.87,6.0,36766.43,64954.03,101720.46,USD,VERDE,LIQUIDADO,2024-07-17
IMP-ES-2023-0000352,2023-04-09,ES,VIGO,Repsol S.A.,ES42542841N,BR,MARITIMO,Maersk Line,SANTA URSULA,MAER549907786,HO CHI MINH,2023-02-24,2023-04-06,44,MAN-2023-94683,COSU8851806|EISU3283712|YMLU1005932|MSKU5216604,OPEN TOP 20',4,15783.3,25.25,146,2,1:3901.20.00:Polietileno de alta densidad:440:1338004.80USD | 2:3002.20.00:Vacunas para medicina humana:26:374042.76USD,1712047.56,132589.45,13636.4,1858273.41,10.0,185827.34,429261.16,615088.5,EUR,VERDE,ACEPTADO,2023-04-13
IMP-ES-2023-0000353,2023-02-01,ES,VIGO,Mercadona S.A.,ES82646617X,MY,MARITIMO,HMM,MAERSK EDINBURGH,HMM175594355,VALENCIA,2023-01-07,2023-01-30,25,MAN-2023-30142,HLXU8438704|TCKU5621624,HC 40',2,796.1,12.62,647,1,1:6203.42.00:Pantalones de mezclilla:494:7032712.44USD,7032712.44,260365.2,63395.72,7356473.36,15.0,1103471.0,1776588.32,2880059.32,EUR,VERDE,ACEPTADO,2023-02-04
IMP-CL-2022-0000354,2022-03-25,CL,IQUIQUE,Cencosud S.A.,61.323.846-K,IT,MARITIMO,Hapag-Lloyd,ANDROMEDA LEADER,HAPA189220818,PORT KLANG,2022-02-23,2022-03-23,30,MAN-2022-56748,YMLU4768723|APHU2728894|MSKU7082569|HLXU9296866,OPEN TOP 20',4,26989.2,32.41,225,1,1:7208.51.00:Productos planos de hierro laminado:219:1922563.77USD,1922563.77,141908.5,22906.13,2087378.4,18.0,375728.11,467990.24,843718.35,USD,ROJO,LIQUIDADO,2022-03-26
IMP-CL-2024-0000355,2024-09-21,CL,VALPARAISO,Walmart Chile S.A.,95.276.104-9,TH,MARITIMO,PIL,MAERSK EDINBURGH,PIL871256936,GUANGZHOU,2024-08-27,2024-09-18,25,MAN-2024-61608,TRHU2808544,REEFER 40',1,23550.7,46.77,211,4,1:6203.42.00:Pantalones de mezclilla:54:807816.78USD | 2:4011.10.00:Neumáticos para automóviles:424:4507480.40USD | 3:3002.20.00:Vacunas para medicina humana:288:2621819.52USD | 4:6109.10.00:Camisetas de algodón:290:1636638.20USD,9573754.9,535635.69,136449.28,10245839.87,6.0,614750.39,2063512.15,2678262.54,USD,ROJO,ACEPTADO,2024-09-22
IMP-CL-2024-0000356,2024-06-20,CL,IQUIQUE,Minera Collahuasi S.A.,72.086.906-1,NL,MARITIMO,COSCO Shipping,HMM ALGECIRAS,COSC761857388,ANTWERP,2024-05-06,2024-06-18,45,MAN-2024-56111,EISU5172511|YMLU8482755|MSCU6444414,REEFER 20',3,19725.4,46.26,338,5,1:2710.12.00:Gasolina:111:944419.08USD | 2:8517.12.00:Teléfonos inteligentes:13:122999.63USD | 3:3004.90.00:Medicamentos para uso humano:169:251990.83USD | 4:3002.20.00:Vacunas para medicina humana:472:2920754.88USD | 5:8471.30.00:Computadores portátiles:15:164078.55USD,4404242.97,319182.11,33186.6,4756611.68,18.0,856190.1,1066432.34,1922622.44,USD,AMARILLO,LIQUIDADO,2024-06-25
IMP-ES-2023-0000357,2023-10-11,ES,VALENCIA,Navantia S.A.,ES93009769C,AR,MARITIMO,HMM,MAERSK MC-KINNEY MOLLER,HMM197218961,HAMBURG,2023-08-28,2023-10-09,44,MAN-2023-22237,HLXU5440600|COSU6881989|EISU8344546|EISU3671224,DRY 40',4,9375.9,12.25,645,1,1:8528.72.00:Monitores y pantallas LCD:328:1999789.76USD,1999789.76,122167.13,22787.1,2144743.99,18.0,386053.92,531467.56,917521.48,EUR,AMARILLO,LIQUIDADO,2023-10-16
IMP-VN-2023-0000358,2023-06-24,VN,DA NANG,Masan Group,VN6264911145,AR,MARITIMO,Hapag-Lloyd,MSC ISTANBUL,HAPA113334107,VALENCIA,2023-06-02,2023-06-21,22,MAN-2023-29054,EISU4771935,REEFER 20',1,23218.7,20.98,327,3,1:3901.20.00:Polietileno de alta densidad:69:953556.54USD | 2:2204.21.00:Vino tinto en botellas:54:684541.26USD | 3:3004.90.00:Medicamentos para uso humano:377:4607109.65USD,6245207.45,464472.04,49581.47,6759260.96,10.0,675926.1,743518.71,1419444.81,USD,VERDE,LIQUIDADO,2023-06-27
IMP-CL-2022-0000359,2022-02-12,CL,SAN ANTONIO,Viña Concha y Toro S.A.,68.852.434-8,NL,MARITIMO,HMM,PIL SINGAPORE,HMM966781918,ROTTERDAM,2021-12-29,2022-02-09,45,MAN-2022-23737,OOLU7211403|EISU4937710|EISU6990710,DRY 20',3,26847.5,13.74,515,4,1:7208.51.00:Productos planos de hierro laminado:212:593390.12USD | 2:3002.20.00:Vacunas para medicina humana:266:2318889.58USD | 3:3901.20.00:Polietileno de alta densidad:322:2780824.20USD | 4:8703.23.00:Automóviles de turismo:462:6785472.54USD,12478576.44,840302.83,150584.71,13469463.98,6.0,808167.84,2712750.05,3520917.89,USD,VERDE,EN REVISIÓN,
IMP-ES-2023-0000360,2023-04-12,ES,VIGO,Navantia S.A.,ES38884210Z,MY,MARITIMO,PIL,YANG MING WIND,PIL678097976,HO CHI MINH,2023-03-02,2023-04-10,41,MAN-2023-50609,MSKU6946051|MSKU5632027,REEFER 40',2,7430.3,63.27,66,5,1:6203.42.00:Pantalones de mezclilla:317:2083859.73USD | 2:7208.51.00:Productos planos de hierro laminado:303:1984165.20USD | 3:6109.10.00:Camisetas de algodón:489:7304129.43USD | 4:8517.12.00:Teléfonos inteligentes:12:100845.36USD | 5:4011.10.00:Neumáticos para automóviles:287:2800448.42USD,14273448.14,1067540.9,139398.27,15480387.31,15.0,2322058.1,3738513.54,6060571.64,EUR,AMARILLO,EN REVISIÓN,
IMP-VN-2023-0000361,2023-11-08,VN,HAI PHONG,Vinamilk,VN1785934340,FR,MARITIMO,ONE (Ocean Network Express),SANTA URSULA,ONE290493557,HO CHI MINH,2023-10-14,2023-11-05,25,MAN-2023-56551,TCKU1494719|COSU3004878,HC 40',2,2950.4,66.5,1185,5,1:3002.20.00:Vacunas para medicina humana:498:4555614.36USD | 2:8429.51.00:Cargadores frontales:365:4131599.25USD | 3:3901.20.00:Polietileno de alta densidad:301:543019.05USD | 4:1006.30.00:Arroz semiblanqueado:37:340829.94USD | 5:8471.30.00:Computadores portátiles:272:1689536.16USD,11260598.76,428582.45,78218.25,11767399.46,10.0,1176739.95,1294413.94,2471153.89,USD,VERDE,ACEPTADO,2023-11-12
IMP-CL-2024-0000362,2024-10-20,CL,IQUIQUE,Walmart Chile S.A.,80.613.530-5,DE,MARITIMO,Maersk Line,MSC ISTANBUL,MAER302381105,ANTWERP,2024-09-30,2024-10-19,20,MAN-2024-32595,APHU1992308,OPEN TOP 20',1,10761.5,15.95,1093,3,1:3004.90.00:Medicamentos para uso humano:180:2661242.40USD | 2:8703.23.00:Automóviles de turismo:325:400630.75USD | 3:6203.42.00:Pantalones de mezclilla:232:2616892.72USD,5678765.87,319108.96,29552.34,6027427.17,10.0,602742.72,1259732.28,1862475.0,USD,VERDE,ACEPTADO,2024-10-25
IMP-CL-2023-0000363,2023-01-08,CL,ARICA,Walmart Chile S.A.,74.590.395-2,JP,MARITIMO,Hapag-Lloyd,PACIFIC CARRIER,HAPA307403646,HAMBURG,2022-12-04,2023-01-07,35,MAN-2023-75228,TRHU1650524,REEFER 40',1,24926.4,56.59,256,3,1:8474.20.00:Maquinaria trituradora de minerales:294:782675.04USD | 2:8429.51.00:Cargadores frontales:226:2395249.70USD | 3:2204.21.00:Vino tinto en botellas:451:5223495.53USD,8401420.27,465156.7,110425.03,8977002.0,6.0,538620.12,1807968.2,2346588.32,USD,VERDE,LIQUIDADO,2023-01-13
IMP-CL-2023-0000364,2023-11-22,CL,SAN ANTONIO,Falabella Retail S.A.,47.992.142-2,MY,MARITIMO,PIL,MAERSK MC-KINNEY MOLLER,PIL414562491,TOKYO,2023-10-21,2023-11-19,32,MAN-2023-35957,APHU2525946,OPEN TOP 20',1,18507.1,64.27,1163,5,1:3004.90.00:Medicamentos para uso humano:127:697452.25USD | 2:7208.51.00:Productos planos de hierro laminado:123:1771962.60USD | 3:8474.20.00:Maquinaria trituradora de minerales:252:713971.44USD | 4:8528.72.00:Monitores y pantallas LCD:207:131122.08USD | 5:1006.30.00:Arroz semiblanqueado:31:426249.69USD,3740758.06,284507.96,49037.87,4074303.89,15.0,611145.58,890235.4,1501380.98,USD,AMARILLO,LIQUIDADO,2023-11-26
IMP-CL-2024-0000365,2024-06-10,CL,ARICA,Comercial Atacama S.A.,96.827.121-6,BR,MARITIMO,Maersk Line,COSCO SHIPPING UNIVERSE,MAER498169157,TOKYO,2024-05-11,2024-06-09,30,MAN-2024-76682,YMLU3908477,OPEN TOP 20',1,9125.5,8.12,67,4,1:8471.30.00:Computadores portátiles:288:2092818.24USD | 2:7606.11.00:Chapas y hojas de aluminio:200:919080.00USD | 3:8474.20.00:Maquinaria trituradora de minerales:403:4660050.20USD | 4:1006.30.00:Arroz semiblanqueado:395:4054260.25USD,11726208.69,384101.08,156106.0,12266415.77,6.0,735984.95,2470456.14,3206441.09,USD,VERDE,RECHAZADO,
IMP-ES-2023-0000366,2023-03-16,ES,BARCELONA,Inditex S.A.,ES30928435E,MX,MARITIMO,ONE (Ocean Network Express),ANDROMEDA LEADER,ONE817831634,HONG KONG,2023-02-23,2023-03-14,21,MAN-2023-91495,MSKU5872802|MSCU5033031,OPEN TOP 20',2,22875.0,59.03,372,2,1:6203.42.00:Pantalones de mezclilla:38:407108.44USD | 2:1006.30.00:Arroz semiblanqueado:254:789683.46USD,1196791.9,74226.3,6170.57,1277188.77,6.0,76631.33,284302.22,360933.55,EUR,VERDE,LIQUIDADO,2023-03-19
IMP-VN-2023-0000367,2023-09-27,VN,DA NANG,Vietjet Air,VN2123130491,JP,MARITIMO,Hapag-Lloyd,MSC OSCAR,HAPA983557960,TOKYO,2023-09-03,2023-09-24,24,MAN-2023-61761,MSCU8535120|TCKU4740892|MSKU2918984|MSKU3666299,REEFER 20',4,2328.8,39.9,352,3,1:3002.20.00:Vacunas para medicina humana:422:2620814.12USD | 2:8471.30.00:Computadores portátiles:143:1807675.87USD | 3:8544.42.00:Conductores eléctricos con conector:98:1200764.60USD,5629254.59,306292.38,61929.1,5997476.07,15.0,899621.41,689709.75,1589331.16,USD,VERDE,ACEPTADO,2023-09-29
IMP-CL-2024-0000368,2024-10-16,CL,VALPARAISO,Codelco Chile,91.454.359-0,IN,MARITIMO,CMA CGM,HAPAG LLOYD BERLIN,CMA264387203,PORT KLANG,2024-09-22,2024-10-15,24,MAN-2024-59811,APHU4170380,DRY 40',1,20435.0,7.84,39,5,1:8517.12.00:Teléfonos inteligentes:118:68450.62USD | 2:7606.11.00:Chapas y hojas de aluminio:199:552290.67USD | 3:4011.10.00:Neumáticos para automóviles:391:4069262.12USD | 4:8474.20.00:Maquinaria trituradora de minerales:35:127185.10USD | 5:2710.12.00:Gasolina:316:1760063.12USD,6577251.63,440132.03,61959.28,7079342.94,18.0,1274281.73,1587188.69,2861470.42,USD,ROJO,ACEPTADO,2024-10-19
IMP-VN-2023-0000369,2023-04-07,VN,HO CHI MINH,Vingroup JSC,VN2003570520,IN,MARITIMO,PIL,MAERSK MC-KINNEY MOLLER,PIL704207045,SINGAPORE,2023-03-15,2023-04-04,23,MAN-2023-10448,APHU6327664|MSCU2868408,OPEN TOP 20',2,2291.1,38.67,45,2,1:1006.30.00:Arroz semiblanqueado:13:169927.55USD | 2:7208.51.00:Productos planos de hierro laminado:36:455504.40USD,625431.95,37577.83,4927.19,667936.97,6.0,40076.22,70801.32,110877.54,USD,AMARILLO,ACEPTADO,2023-04-08
IMP-ES-2022-0000370,2022-09-03,ES,BILBAO,Navantia S.A.,ES44522269F,GB,MARITIMO,Evergreen Marine,EVER GIVEN,EVER563573628,ROTTERDAM,2022-07-20,2022-09-02,45,MAN-2022-12744,YMLU7488875|COSU4987424|COSU5195013|EISU8633369,REEFER 20',4,25784.2,14.95,1108,1,1:4011.10.00:Neumáticos para automóviles:280:313073.60USD,313073.6,19549.3,4416.88,337039.78,10.0,33703.98,77856.19,111560.17,EUR,VERDE,LIQUIDADO,2022-09-06
IMP-CL-2022-0000371,2022-03-29,CL,SAN ANTONIO,Enap Refinerías S.A.,23.969.191-7,JP,MARITIMO,HMM,ANDROMEDA LEADER,HMM800334617,HO CHI MINH,2022-02-25,2022-03-27,32,MAN-2022-81149,HLXU4639973|HLXU4264878,OPEN TOP 20',2,18631.5,45.23,958,5,1:6203.42.00:Pantalones de mezclilla:483:2942836.89USD | 2:3004.90.00:Medicamentos para uso humano:453:2841084.63USD | 3:8429.51.00:Cargadores frontales:376:2553096.40USD | 4:2204.21.00:Vino tinto en botellas:488:2846386.88USD | 5:8703.23.00:Automóviles de turismo:187:948770.68USD,12132175.48,767586.62,76810.58,12976572.68,10.0,1297657.27,2712103.69,4009760.96,USD,VERDE,ACEPTADO,2022-04-02
IMP-VN-2024-0000372,2024-04-24,VN,HAI PHONG,Petrovietnam,VN7385263415,US,MARITIMO,CMA CGM,ONE STORK,CMA204222330,ANTWERP,2024-04-05,2024-04-23,19,MAN-2024-98629,OOLU3891398|YMLU3614824,OPEN TOP 20',2,11551.6,55.82,415,2,1:1006.30.00:Arroz semiblanqueado:456:1075804.32USD | 2:3901.20.00:Polietileno de alta densidad:197:2769319.62USD,3845123.94,198366.83,55492.8,4098983.57,0.0,0.0,409898.36,409898.36,USD,VERDE,EN REVISIÓN,
IMP-CL-2022-0000373,2022-06-25,CL,VALPARAISO,Viña Concha y Toro S.A.,26.449.657-2,BR,MARITIMO,Yang Ming,HAPAG LLOYD BERLIN,YANG227174482,SINGAPORE,2022-06-07,2022-06-24,18,MAN-2022-64419,HLXU6160031|MSKU7089123,REEFER 40',2,25504.3,42.92,924,1,1:1006.30.00:Arroz semiblanqueado:437:593581.47USD,593581.47,45455.36,5085.19,644122.02,15.0,96618.3,140740.66,237358.96,USD,VERDE,ACEPTADO,2022-06-30
IMP-VN-2022-0000374,2022-11-21,VN,DA NANG,Vietnam Airlines,VN3872920236,NL,MARITIMO,CMA CGM,CMA CGM MARCO POLO,CMA863868715,HAMBURG,2022-10-17,2022-11-18,35,MAN-2022-48318,COSU4050662|COSU1333139|COSU6768490,HC 40',3,27664.9,62.62,151,4,1:6109.10.00:Camisetas de algodón:466:3112465.26USD | 2:6203.42.00:Pantalones de mezclilla:387:232308.36USD | 3:8474.20.00:Maquinaria trituradora de minerales:451:2579913.93USD | 4:8429.51.00:Cargadores frontales:195:1395893.85USD,7320581.4,500412.29,79514.35,7900508.04,18.0,1422091.45,932259.95,2354351.4,USD,AMARILLO,EN REVISIÓN,
IMP-CL-2023-0000375,2023-12-28,CL,VALPARAISO,Falabella Retail S.A.,93.139.894-7,DE,MARITIMO,Hapag-Lloyd,COSCO SHIPPING UNIVERSE,HAPA691926077,BARCELONA,2023-11-21,2023-12-26,37,MAN-2023-53636,APHU5701744|APHU1393330,REEFER 20',2,9260.6,15.85,499,1,1:8544.42.00:Conductores eléctricos con conector:457:4048535.58USD,4048535.58,322203.07,35028.58,4405767.23,6.0,264346.03,887321.52,1151667.55,USD,ROJO,ACEPTADO,2023-12-29
IMP-VN-2022-0000376,2022-01-22,VN,HANOI,Sabeco,VN1487587350,KR,MARITIMO,HMM,EVER GIVEN,HMM360877421,VALENCIA,2021-12-12,2022-01-19,41,MAN-2022-24031,OOLU6631019|EISU9599736|OOLU7831599,OPEN TOP 20',3,9908.5,66.29,545,1,1:0901.11.00:Café sin tostar:195:585514.80USD,585514.8,31328.58,5201.7,622045.08,15.0,93306.76,71535.18,164841.94,USD,VERDE,ACEPTADO,2022-01-23
IMP-VN-2024-0000377,2024-02-04,VN,HANOI,Masan Group,VN1902883907,DE,MARITIMO,MSC,MAERSK MC-KINNEY MOLLER,MSC444032199,NINGBO,2024-01-15,2024-02-03,20,MAN-2024-60711,MSCU3327250,DRY 40',1,25745.1,65.23,390,5,1:6203.42.00:Pantalones de mezclilla:378:4576340.16USD | 2:8528.72.00:Monitores y pantallas LCD:446:6081022.68USD | 3:4011.10.00:Neumáticos para automóviles:37:87027.33USD | 4:8471.30.00:Computadores portátiles:321:4649688.21USD | 5:2710.12.00:Gasolina:497:3437669.48USD,18831747.86,1387336.22,242201.07,20461285.15,0.0,0.0,2046128.51,2046128.51,USD,VERDE,LIQUIDADO,2024-02-09
